Semester,Course Code,Course Name,Credits,Prerequisites,Type
7. Yarıyıl,END 319E,Cost Management,3,Yok,Elective Functional
7. Yarıyıl,END 329E,Quality Management Tools&Tech.,3,Yok,Elective Functional
7. Yarıyıl,END 344E,Behavioral Sciences,3,Yok,Elective Functional
7. Yarıyıl,END 345E,Evolution of Management Thought,3,Yok,Elective Functional
7. Yarıyıl,END 365E,People Analytics,3,END 311 MIN DD veya END 311E MIN DD,Elective Functional
7. Yarıyıl,END 367E,Automation in Production Syst.,3,Yok,Elective Functional
7. Yarıyıl,END 374E,Competition Management,3,Yok,Elective Functional
7. Yarıyıl,END 381E,Tech.Design for IndusT. Eng.,3,Yok,Elective Functional
7. Yarıyıl,END 423E,Investment Planning,3,END 312 MIN DD veya END 312E MIN DD,Elective Functional
7. Yarıyıl,END 429E,Process Management,3,END 211 MIN DD veya END 211E MIN DD veya END 215 MIN DD veya END 215E MIN DD,Elective Functional
7. Yarıyıl,END 433E,Marketing Management,3,Yok,Elective Functional
7. Yarıyıl,END 445E,Lean Production Systems,3,Yok,Elective Functional
7. Yarıyıl,END 451E,Logistics Management,3,(END 331 MIN DD veya END 331E MIN DD) ve (END 252 MIN DD veya END 252E MIN DD),Elective Functional
7. Yarıyıl,END 453E,Indus.4.0 & Digital Transform.,3,Yok,Elective Functional
7. Yarıyıl,END 473E,Pricing and Revenue Management,3,(END 331 MIN DD veya END 331E MIN DD) ve (END 312 MIN DD veya END 312E MIN DD),Elective Functional
7. Yarıyıl,END 475E,Feasibility Studies,3,END 312 MIN DD veya END 312E MIN DD,Elective Functional
7. Yarıyıl,BLG 231E,Digital Circuits,3,Yok,Elective Analytic
7. Yarıyıl,EHB 420E,Artificial Neural Networks,3,MAT 281 MIN DD veya MAT 281E MIN DD veya EEF 281 MIN DD veya EEF 281E MIN DD,Elective Analytic
7. Yarıyıl,END 327E,Decision Theory,3,(END 252E MIN DD veya END 252 MIN DD veya ECN 211E MIN DD veya ECN 209E MIN DD veya VBA 252E MIN DD) ve (END 331 MIN DD veya END 331E MIN DD veya ECN 211E MIN DD veya ECN 209E MIN DD veya VBA 311E MIN DD),Elective Analytic
7. Yarıyıl,END 357E,Management Information Systems,3,END 213E MIN DD ve (END 211 MIN DD veya END 211E MIN DD veya END 215 MIN DD veya END 215E MIN DD),Elective Analytic
7. Yarıyıl,END 369E,Game Theory,3,(END 252 MIN DD veya VBA 252E MIN DD) ve (END 331 MIN DD veya END 331E MIN DD veya VBA 211E MIN DD),Elective Analytic
7. Yarıyıl,END 443E,Business Planning & Innovation,3,Yok,Elective Analytic
7. Yarıyıl,END 447E,Network Models,3,END 331 MIN DD veya END 331E MIN DD veya VBA 211E MIN DD,Elective Analytic
7. Yarıyıl,END 448E,Intr. to Stochastic Modell.,3,Yok,Elective Analytic
7. Yarıyıl,END 457E,Heuristic Optimization,3,END 331 MIN DD veya END 331E MIN DD veya VBA 211E MIN DD,Elective Analytic
7. Yarıyıl,END 471E,Marketing & CRM Analytics,3,END 311 MIN DD veya END 311E MIN DD veya VBA 311E MIN DD,Elective Analytic
7. Yarıyıl,END 493E,Applied Statistics,3,END 311 MIN DD veya END 311E MIN DD veya VBA 311E MIN DD,Elective Analytic
7. Yarıyıl,MAT 343E,Time Series Analysis,3,MAT 244 MIN DD veya MAT 244E MIN DD,Elective Analytic
7. Yarıyıl,MAT 471E,Financial Mathematics,3,MAT 232 MIN DD veya MAT 232E MIN DD veya BIO 210E MIN DD veya BLG 210E MIN DD veya CEV 210 MIN DD veya CEV 210E MIN DD veya DEN 210E MIN DD veya EEE 210E MIN DD veya EEF 210 MIN DD veya EEF 210E MIN DD veya FIZ 210 MIN DD veya GEM 210E MIN DD veya GEO 220 MIN DD veya GEO 220E MIN DD veya INS 210 MIN DD veya INS 210E MIN DD veya KIM 271 MIN DD veya MAK 210E MIN DD veya MAT 201 MIN DD veya MAT 201E MIN DD veya MAT 210 MIN DD veya MAT 210E MIN DD,Elective Analytic
8. Yarıyıl,END 314E,Service Systems,3,Yok,Elective Functional
8. Yarıyıl,END 316E,Group Technology and Flexible Manufacturing Systems,3,Yok,Elective Functional
8. Yarıyıl,END 364E,Work Psychology,3,Yok,Elective Functional
8. Yarıyıl,END 374E,Competition Management,3,Yok,Elective Functional
8. Yarıyıl,END 382E,Production Methods,3,END 112E MIN DD,Elective Functional
8. Yarıyıl,END 414E,Maintenance Management,3,END 252 MIN DD veya END 252E MIN DD,Elective Functional
8. Yarıyıl,END 426E,Enterprise Resources Planning,3,END 421 MIN DD veya END 421E MIN DD veya ISL 384 MIN DD veya ISL 384E MIN DD,Elective Functional
8. Yarıyıl,END 432E,Facility Layout,3,Yok,Elective Functional
8. Yarıyıl,END 434E,Intro.to Strategic Management,3,END 323 MIN DD veya END 431 MIN DD veya END 431E MIN DD,Elective Functional
8. Yarıyıl,END 435E,Work Safety,3,Yok,Elective Functional
8. Yarıyıl,END 452E,Purchasing Management,3,Yok,Elective Functional
8. Yarıyıl,END 454E,Energy Markets & Optimization,3,END 331 MIN DD veya END 331E MIN DD veya ISL 323 MIN DD veya ISL 323E MIN DD,Elective Functional
8. Yarıyıl,END 472E,Advanced Spreadsheet Modeling,3,Yok,Elective Functional
8. Yarıyıl,END 486E,The New Era of Management,3,Yok,Elective Functional
